year,team,conference,poll_week,rank,rank_numeric,table_id
2010,Gonzaga,WCC,2/22,19.0,19,1
2010,Kentucky,SEC,2/22,16.0,16,1
2010,Oklahoma State,Big 12,2/22,23.0,23,1
2010,LSU,SEC,2/22,20.0,20,1
2010,Georgia,SEC,2/22,24.0,24,1
2010,Hartford,AmEast,2/22,24.0,24,1
2010,Virginia,ACC,2/22,21.0,21,1
2010,Georgia Tech,ACC,2/22,22.0,22,1
2010,UConn,Big East,3/1,1.0,1,1
2010,Stanford,Pac-10,3/1,2.0,2,1
2010,Tennessee,SEC,3/1,4.0,4,1
2010,Nebraska,Big 12,3/1,3.0,3,1
2010,Xavier,A-10,3/1,5.0,5,1
2010,Duke,ACC,3/1,9.0,9,1
2010,Notre Dame,Big East,3/1,6.0,6,1
2010,Ohio State,Big Ten,3/1,10.0,10,1
2010,Texas A&M,Big 12,3/1,15.0,15,1
2010,West Virginia,Big East,3/1,7.0,7,1
2010,Florida State,ACC,3/1,8.0,8,1
2010,Oklahoma,Big 12,3/1,11.0,11,1
2010,Georgetown,Big East,3/1,12.0,12,1
2010,Baylor,Big 12,3/1,14.0,14,1
2010,St. John's (NY),Big East,3/1,16.0,16,1
2010,Iowa State,Big 12,3/1,13.0,13,1
2010,Texas,Big 12,3/1,18.0,18,1
2010,Gonzaga,WCC,3/1,17.0,17,1
2010,Kentucky,SEC,3/1,19.0,19,1
2010,Oklahoma State,Big 12,3/1,20.0,20,1
2010,LSU,SEC,3/1,21.0,21,1
2010,Georgia,SEC,3/1,22.0,22,1
2010,Michigan State,Big Ten,3/1,25.0,25,1
2010,Hartford,AmEast,3/1,23.0,23,1
2010,Virginia,ACC,3/1,24.0,24,1
2010,UConn,Big East,3/8,1.0,1,1
2010,Stanford,Pac-10,3/8,2.0,2,1
2010,Tennessee,SEC,3/8,4.0,4,1
2010,Nebraska,Big 12,3/8,3.0,3,1
2010,Xavier,A-10,3/8,5.0,5,1
2010,Duke,ACC,3/8,7.0,7,1
2010,Notre Dame,Big East,3/8,6.0,6,1
2010,Ohio State,Big Ten,3/8,8.0,8,1
2010,Texas A&M,Big 12,3/8,11.0,11,1
2010,West Virginia,Big East,3/8,9.0,9,1
2010,Florida State,ACC,3/8,10.0,10,1
2010,Oklahoma,Big 12,3/8,12.0,12,1
2010,Georgetown,Big East,3/8,13.0,13,1
2010,Baylor,Big 12,3/8,16.0,16,1
2010,St. John's (NY),Big East,3/8,17.0,17,1
2010,Iowa State,Big 12,3/8,14.0,14,1
2010,Texas,Big 12,3/8,15.0,15,1
2010,Gonzaga,WCC,3/8,18.0,18,1
2010,Kentucky,SEC,3/8,19.0,19,1
2010,Oklahoma State,Big 12,3/8,20.0,20,1
