School,Conf,Pre,11/11,11/18,11/25,12/2,12/9,12/16,12/23,12/30,1/6,1/13,1/20,1/27,2/3,2/10,2/17,2/24,3/3,3/10,3/17,Post,year,table_number,11/13,11/20,11/27,12/4,12/11,12/18,12/25,1/1,1/8,1/15,1/22,1/29,2/5,2/12,2/19,2/26,3/4,3/11,3/18,11/14,11/21,11/28,12/5,12/13,12/19,12/26,1/2,1/9,1/16,1/23,1/30,2/6,2/13,2/20,2/28,Final,11/15,11/23,11/29,12/6,12/20,12/27,1/3,1/10,1/17,1/24,1/31,2/7,2/14,2/21,3/7,11/30,12/7,12/14,12/21,12/28,1/4,1/11,1/18,1/25,2/1,2/8,2/15,2/22,3/1,3/8,3/2,11/12,11/19,11/26,12/3,12/10,12/17,12/24,12/31,1/7,1/14,1/21,1/28,2/4,2/11,2/18,2/25,3/5,12/12,2/27,3/6,11/16,2/29,11/17,11/24,12/1,12/8,12/15,12/22,12/29,1/5,1/12,1/19,1/26,2/2,2/9,2/16,2/23,3/9,11/22
South Carolina,SEC,10,,,,,,,,,,,,,,,,,,,,,2019,1,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,13,18,22,25,25,25,23,21,15,19,16,12,11,13,14,,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,SEC,20,,,,,,,,,,,,,,,,,,,,,2019,1,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,20,17,,,23,23,21,,,24,20,18,22,21,19,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,SEC,,,,,,,,,,,,,,,,,,,,,,2019,1,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,19,18,18,18,16,16,16,15,19,19,17,16,11,,,,,,,,,,,,,,,,,,,,,,,
Miami (FL),ACC,25,,,,,,,,,,,,,,,,,,,,,2019,1,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24,21,25,24,24,24,,,,,,25,20,14,15,,,,,,,,,,,,,,,,,,,,,,,
UCLA,Pac-12,,,,,,,,,,,,,,,,,,,,,,2019,1,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,
Drake,MVC,,,,,,,,,,,,,,,,,,,,,,2019,1,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,21,,,,,,,,,,,24,23,,,,,,,,,,,,,,,,,,,,,,,
Texas,Big 12,11,,,,,,,,,,,,,,,,,,,,,2019,1,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,10,10,12,12,12,13,13,11,11,12,12,14,15,19,18,,,,,,,,,,,,,,,,,,,,,,,
Arizona State,Pac-12,23,,,,,,,,,,,,,,,,,,,,,2019,1,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,19,19,17,17,17,17,22,19,19,16,21,20,19,17,21,,,,,,,,,,,,,,,,,,,,,,,
Rice,CUSA,,,,,,,,,,,,,,,,,,,,,,2019,1,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,24,,,,,,,,,,,,,,,,,,,,,,,
Florida State,ACC,,,,,,,,,,,,,,,,,,,,,,2019,1,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,22,24,24,21,22,22,,,,,,,,,,,,,,,,,,,,,,,
South Dakota,Summit,,,,,,,,,,,,,,,,,,,,,,2019,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,23,,,,,,,,,,,,,,,,,,,,,,,,
Rutgers,Big Ten,,,,,,,,,,,,,,,,,,,,,,2019,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,14,17,20,23,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan State,Big Ten,,,,,,,,,,,,,,,,,,,,,,2019,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,22,21,15,23,17,23,22,23,24,,,,,,,,,,,,,,,,,,,,,,,,,
Utah,Pac-12,,,,,,,,,,,,,,,,,,,,,,2019,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,14,17,,,,,,,,,,,,,,,,,,,,,,,,,,
BYU,WCC,,,,,,,,,,,,,,,,,,,,,,2019,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missouri,SEC,16,,,,,,,,,,,,,,,,,,,,,2019,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,21,,23,22,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tennessee,SEC,11,,,,,,,,,,,,,,,,,,,,,2019,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,11,11,9,9,9,10,10,13,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minnesota,Big Ten,,,,,,,,,,,,,,,,,,,,,,2019,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,23,20,14,13,13,12,12,18,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indiana,Big Ten,,,,,,,,,,,,,,,,,,,,,,2019,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,Pac-12,24,,,,,,,,,,,,,,,,,,,,,2019,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,18,15,13,13,14,14,18,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DePaul,Big East,15,,,,,,,,,,,,,,,,,,,,,2019,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,16,16,20,20,20,19,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Florida,AAC,22,,,,,,,,,,,,,,,,,,,,,2019,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,Big 12,,,,,,,,,,,,,,,,,,,,,,2019,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Georgia,SEC,14,,,,,,,,,,,,,,,,,,,,,2019,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke,ACC,21,,,,,,,,,,,,,,,,,,,,,2019,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UConn,AAC,1,,,,,,,,,,,,,,,,,,,,,2018,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Baylor,Big 12,3,,,,,,,,,,,,,,,,,,,,,2018,1,3,8,9,8,6,6,6,6,5,4,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
Louisville,ACC,9,,,,,,,,,,,,,,,,,,,,,2018,1,5,4,4,4,3,3,3,3,3,2,4,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,
Mississippi State,SEC,7,,,,,,,,,,,,,,,,,,,,,2018,1,7,7,6,6,5,5,5,5,4,3,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
Notre Dame,ACC,6,,,,,,,,,,,,,,,,,,,,,2018,1,6,6,3,3,2,2,2,2,2,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,
Oregon,Pac-12,11,,,,,,,,,,,,,,,,,,,,,2018,1,10,10,10,9,9,10,10,9,8,7,7,6,9,9,8,6,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,
South Carolina,SEC,4,,,,,,,,,,,,,,,,,,,,,2018,1,4,3,5,5,4,4,4,4,9,10,9,7,7,8,7,8,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,
Texas,Big 12,2,,,,,,,,,,,,,,,,,,,,,2018,1,2,2,2,2,8,8,8,8,7,9,6,8,6,6,6,7,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,
UCLA,Pac-12,8,,,,,,,,,,,,,,,,,,,,,2018,1,8,5,7,7,11,11,11,14,14,13,13,9,8,7,10,9,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,
Ohio State,Big Ten,5,,,,,,,,,,,,,,,,,,,,,2018,1,9,9,8,12,13,12,12,10,10,8,12,18,13,16,14,13,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,
Florida State,ACC,18,,,,,,,,,,,,,,,,,,,,,2018,1,17,13,13,13,12,13,13,11,13,12,8,10,12,12,9,11,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,
Tennessee,SEC,14,,,,,,,,,,,,,,,,,,,,,2018,1,13,12,12,11,7,7,7,7,6,6,10,12,11,11,15,12,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,
Oregon State,Pac-12,19,,,,,,,,,,,,,,,,,,,,,2018,1,18,18,21,19,17,17,17,16,22,18,17,16,16,15,12,10,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,
Texas A&M,SEC,21,,,,,,,,,,,,,,,,,,,,,2018,1,19,19,18,21,19,19,22,19,17,16,15,14,14,17,17,15,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,
Stanford,Pac-12,10,,,,,,,,,,,,,,,,,,,,,2018,1,14,14,16,18,18,18,,24,,,,24,17,14,16,16,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,
Maryland,Big Ten,15,,,,,,,,,,,,,,,,,,,,,2018,1,15,15,15,15,15,15,15,13,11,14,14,11,10,10,13,17,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,
Missouri,SEC,16,,,,,,,,,,,,,,,,,,,,,2018,1,23,23,19,17,16,16,16,15,12,11,11,15,15,13,11,14,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,
Georgia,SEC,,,,,,,,,,,,,,,,,,,,,,2018,1,,,,,,,,,,,21,17,18,20,19,19,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,,
South Florida,AAC,23,,,,,,,,,,,,,,,,,,,,,2018,1,22,17,17,16,22,22,25,,,,,,,22,18,20,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,
Duke,ACC,12,,,,,,,,,,,,,,,,,,,,,2018,1,11,16,14,14,14,14,14,17,16,15,18,19,19,17,20,18,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,,
NC State,ACC,,,,,,,,,,,,,,,,,,,,,,2018,1,,,,,,,,,,,,,23,25,21,23,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,
Green Bay,Horizon,,,,,,,,,,,,,,,,,,,,,,2018,1,,,,23,21,21,19,,25,23,22,20,20,19,22,21,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,
Belmont,OVC,,,,,,,,,,,,,,,,,,,,,,2018,1,,,,,,,,,,,,,,24,23,22,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,
LSU,SEC,,,,,,,,,,,,,,,,,,,,,,2018,1,,,,,,,,,,,,,,,24,24,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,
Mercer,Southern,,,,,,,,,,,,,,,,,,,,,,2018,1,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,
Oklahoma State,Big 12,,,,,,,,,,,,,,,,,,,,,,2018,1,,,,,,,24,20,20,24,19,23,22,21,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michigan,Big Ten,24,,,,,,,,,,,,,,,,,,,,,2018,1,24,25,22,24,23,23,21,22,23,19,16,13,21,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCU,Big 12,,,,,,,,,,,,,,,,,,,,,,2018,1,,,,,,,,,,,24,22,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona State,Pac-12,,,,,,,,,,,,,,,,,,,,,,2018,1,,24,,,,,,25,18,22,25,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Virginia,Big 12,13,,,,,,,,,,,,,,,,,,,,,2018,1,12,11,11,10,10,9,9,12,15,17,20,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,Pac-12,20,,,,,,,,,,,,,,,,,,,,,2018,1,20,21,24,25,24,24,20,23,24,21,23,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Iowa,Big Ten,,,,,,,,,,,,,,,,,,,,,,2018,1,,,,,25,25,23,18,18,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rutgers,Big Ten,,,,,,,,,,,,,,,,,,,,,,2018,1,,,,,,,,,21,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Villanova,Big East,,,,,,,,,,,,,,,,,,,,,,2018,1,,,25,22,20,20,18,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kentucky,SEC,,,,,,,,,,,,,,,,,,,,,,2018,1,25,22,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marquette,Big East,17,,,,,,,,,,,,,,,,,,,,,2018,1,16,20,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oklahoma,Big 12,22,,,,,,,,,,,,,,,,,,,,,2018,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DePaul,Big East,25,,,,,,,,,,,,,,,,,,,,,2018,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UConn,AAC,3,,,,,,,,,,,,,,,,,,,,,2017,1,,,,,,,,,,,,,,,,,,,,3,2,2,1,,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,
Notre Dame,ACC,1,,,,,,,,,,,,,,,,,,,,,2017,1,,,,,,,,,,,,,,,,,,,,1,1,1,2,,2,2,7,6,6,8,7,7,7,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,,,,,,,,,,,,,,,,,,,
South Carolina,SEC,4,,,,,,,,,,,,,,,,,,,,,2017,1,,,,,,,,,,,,,,,,,,,,4,3,3,6,,6,6,5,5,5,5,4,6,6,7,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,5,4,,,,,,,,,,,,,,,,,,,
Maryland,Big Ten,6,,,,,,,,,,,,,,,,,,,,,2017,1,,,,,,,,,,,,,,,,,,,,6,6,5,4,,4,4,3,3,3,3,3,3,2,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5,,,,,,,,,,,,,,,,,,,
Baylor,Big 12,2,,,,,,,,,,,,,,,,,,,,,2017,1,,,,,,,,,,,,,,,,,,,,2,5,4,3,,3,3,2,2,2,2,2,2,4,4,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2,2,,,,,,,,,,,,,,,,,,,
Stanford,Pac-12,11,,,,,,,,,,,,,,,,,,,,,2017,1,,,,,,,,,,,,,,,,,,,,11,11,11,10,,14,13,10,13,10,10,8,8,10,8,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,10,6,,,,,,,,,,,,,,,,,,,
Mississippi State,SEC,10,,,,,,,,,,,,,,,,,,,,,2017,1,,,,,,,,,,,,,,,,,,,,10,7,6,5,,5,5,4,4,4,4,5,4,3,3,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,7,,,,,,,,,,,,,,,,,,,
Oregon State,Pac-12,25,,,,,,,,,,,,,,,,,,,,,2017,1,,,,,,,,,,,,,,,,,,,,24,22,24,24,,25,22,16,10,11,11,11,9,11,10,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,,,,,,,,,,,,,,,,,,,
Duke,ACC,,,,,,,,,,,,,,,,,,,,,,2017,1,,,,,,,,,,,,,,,,,,,,,,,21,,17,15,13,12,15,14,15,14,13,13,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,13,9,,,,,,,,,,,,,,,,,,,
Florida State,ACC,12,,,,,,,,,,,,,,,,,,,,,2017,1,,,,,,,,,,,,,,,,,,,,12,10,8,7,,7,7,6,7,7,6,6,5,4,8,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,10,,,,,,,,,,,,,,,,,,,
Ohio State,Big Ten,7,,,,,,,,,,,,,,,,,,,,,2017,1,,,,,,,,,,,,,,,,,,,,7,8,9,12,,12,14,11,11,16,15,14,13,12,12,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,9,11,,,,,,,,,,,,,,,,,,,
Washington,Pac-12,17,,,,,,,,,,,,,,,,,,,,,2017,1,,,,,,,,,,,,,,,,,,,,17,15,13,11,,9,9,12,8,8,7,10,10,9,11,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,12,,,,,,,,,,,,,,,,,,,
Louisville,ACC,5,,,,,,,,,,,,,,,,,,,,,2017,1,,,,,,,,,,,,,,,,,,,,5,4,7,8,,8,8,8,9,9,9,9,12,14,14,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,14,13,,,,,,,,,,,,,,,,,,,
Texas,Big 12,8,,,,,,,,,,,,,,,,,,,,,2017,1,,,,,,,,,,,,,,,,,,,,8,14,14,17,,16,16,15,16,12,12,12,11,8,6,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,12,14,,,,,,,,,,,,,,,,,,,
UCLA,Pac-12,9,,,,,,,,,,,,,,,,,,,,,2017,1,,,,,,,,,,,,,,,,,,,,9,9,10,9,,10,10,9,17,13,13,13,15,18,15,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,15,15,,,,,,,,,,,,,,,,,,,
Miami (FL),ACC,14,,,,,,,,,,,,,,,,,,,,,2017,1,,,,,,,,,,,,,,,,,,,,22,21,18,14,,11,11,14,14,14,17,16,16,16,17,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,16,16,,,,,,,,,,,,,,,,,,,
NC State,ACC,,,,,,,,,,,,,,,,,,,,,,2017,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,21,18,19,17,15,18,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,18,,,,,,,,,,,,,,,,,,,
Kentucky,SEC,19,,,,,,,,,,,,,,,,,,,,,2017,1,,,,,,,,,,,,,,,,,,,,15,20,17,15,,18,17,24,,,,25,,,22,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,20,19,,,,,,,,,,,,,,,,,,,
DePaul,Big East,21,,,,,,,,,,,,,,,,,,,,,2017,1,,,,,,,,,,,,,,,,,,,,20,18,15,16,,,,23,21,19,21,17,18,17,19,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,18,17,,,,,,,,,,,,,,,,,,,
Drake,MVC,,,,,,,,,,,,,,,,,,,,,,2017,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,21,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,20,,,,,,,,,,,,,,,,,,,
Syracuse,ACC,14,,,,,,,,,,,,,,,,,,,,,2017,1,,,,,,,,,,,,,,,,,,,,14,11,20,20,,19,25,,,,,24,20,21,20,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,21,21,,,,,,,,,,,,,,,,,,,
West Virginia,Big 12,22,,,,,,,,,,,,,,,,,,,,,2017,1,,,,,,,,,,,,,,,,,,,,21,19,16,13,,13,12,17,18,24,22,22,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,
Oklahoma,Big 12,16,,,,,,,,,,,,,,,,,,,,,2017,1,,,,,,,,,,,,,,,,,,,,16,13,12,19,,20,24,20,22,20,20,18,19,19,16,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,19,22,,,,,,,,,,,,,,,,,,,
Kansas State,Big 12,,,,,,,,,,,,,,,,,,,,,,2017,1,,,,,,,,,,,,,,,,,,,,,,,,,24,,25,25,22,25,,25,24,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24,,,,,,,,,,,,,,,,,,,
