SEASON_YEARS,SEASON,RECRUITING_YEAR,ESPNW_PLAYER_RECRUIT_RANK,PLAYER_NAME,ESPN_GRADE,TEAM,POS,HEIGHT_FEET,HEIGHT_INCHES,HIGH_SCHOOL_FULL,HIGH_SCHOOL,HOMETOWN_STATE
2021-2022,2022,2021,61,Brianna Turnage,91,Virginia Tech,G,6,1,Westlake H.S. (GA),Westlake H.S. ,GA
2021-2022,2022,2021,62,Kaiya Wynn,91,Tennessee,G,5,10,Foster H.S. (TX),Foster H.S. ,TX
2021-2022,2022,2021,63,Ashtynne Marotte,91,Oregon State,G,6,0,Vista Ridge H.S. (TX),Vista Ridge H.S. ,TX
2021-2022,2022,2021,64,Sophia Hart,91,NC State,P,6,5,Farmington H.S. (MN),Farmington H.S. ,MN
2021-2022,2022,2021,65,Tiarra East,91,Temple,G,5,10,Butler Traditional H.S. (KY),Butler Traditional H.S. ,KY
2021-2022,2022,2021,66,Kelbie Washington,91,Oklahoma,PG,5,6,Norman H.S. (OK),Norman H.S. ,OK
2021-2022,2022,2021,67,Chante Embry,91,Texas Tech,F,5,11,Norman H.S. (OK),Norman H.S. ,OK
2021-2022,2022,2021,68,Ariana Wiggins,91,Michigan,G,5,8,Heritage Christian School (IN),Heritage Christian School ,IN
2021-2022,2022,2021,69,De'Mauri Flournoy,91,Vanderbilt,PG,5,6,Carrollton H.S. (GA),Carrollton H.S. ,GA
2021-2022,2022,2021,70,Se'Quoia Allmond,91,Jackson State,PG,5,7,Whitehaven H.S. (TN),Whitehaven H.S. ,TN
2021-2022,2022,2021,71,Madison Conner,91,Arizona,G,5,11,Perry H.S. (AZ),Perry H.S. ,AZ
2021-2022,2022,2021,72,Paige Bradley,91,TCU,G,5,10,Bishop Lynch H.S. (TX),Bishop Lynch H.S. ,TX
2021-2022,2022,2021,73,Callie Genke,91,Green Bay,G,6,0,Freedom H.S. (WI),Freedom H.S. ,WI
2021-2022,2022,2021,74,Emma Calvert,91,BYU,P,6,4,Fremont H.S. (UT),Fremont H.S. ,UT
2021-2022,2022,2021,75,Kayla Blackshear,91,Alabama,F,6,1,Lake Highland Prep (FL),Lake Highland Prep ,FL
2021-2022,2022,2021,76,Marisa Davis,91,Washington,W,6,1,Valley Vista H.S. (AZ),Valley Vista H.S. ,AZ
2021-2022,2022,2021,77,Kierra Sanderlin,91,Rutgers,PG,5,8,Judson H.S. (TX),Judson H.S. ,TX
2021-2022,2022,2021,78,Jzaniya Harriel,91,Stanford,PG,5,10,Antelope H.S. (CA),Antelope H.S. ,CA
2021-2022,2022,2021,79,Lashae Dwyer,91,Miami,PG,5,8,The Webb School,The Webb School,
2021-2022,2022,2021,80,Allison Weidner,91,Nebraska,G,5,9,Saint Francis H.S. (NE),Saint Francis H.S. ,NE
2021-2022,2022,2021,81,Messiah Hunter,91,West Virginia,G,6,1,TPLS Christian Academy (VA),TPLS Christian Academy ,TPLS
2021-2022,2022,2021,82,Kindyll Wetta,91,Colorado,PG,5,9,Valor Christian H.S. (CO),Valor Christian H.S. ,CO
2021-2022,2022,2021,83,Khylee-Jade Pepe,91,San Diego State,G,5,11,Bishop Montgomery H.S. (CA),Bishop Montgomery H.S. ,CA
2021-2022,2022,2021,84,Laila Jewett,91,UCF,G,5,10,Bishop Ireton H.S. (VA),Bishop Ireton H.S. ,VA
2021-2022,2022,2021,85,Avery Van Sickle,91,Washington,PG,5,10,Regis Jesuit H.S. (CO),Regis Jesuit H.S. ,CO
2021-2022,2022,2021,86,Grace Hall,91,LSU,F,6,2,Homewood-Flossmoor H.S. (IL),Homewood-Flossmoor H.S. ,IL
2021-2022,2022,2021,87,Jada Walker,91,Kentucky,PG,5,6,Henrico H.S. (VA),Henrico H.S. ,VA
2021-2022,2022,2021,88,Macie James,91,Oklahoma State,G,5,10,San Joaquin Memorial H.S. (CA),San Joaquin Memorial H.S. ,CA
2021-2022,2022,2021,89,Amiya Payne,91,Middle Tennessee,W,5,11,Hewitt-Trussville H.S. (AL),Hewitt-Trussville H.S. ,AL
2021-2022,2022,2021,90,Olivia Westphal,91,Duquesne,G,5,10,Bethel Park Senior H.S. (PA),Bethel Park Senior H.S. ,PA
2021-2022,2022,2021,91,Jada Malone,91,Texas A&M,P,6,3,The Village School (TX),The Village School ,TX
2021-2022,2022,2021,92,Addison O'Grady,91,Iowa,P,6,3,Grandview H.S. (CO),Grandview H.S. ,CO
2021-2022,2022,2021,93,Skye Williams,91,Purdue,G,5,10,Pickerington Central H.S. (OH),Pickerington Central H.S. ,OH
2021-2022,2022,2021,94,Jess Finney,91,Washington,G,5,10,Chaparral H.S. (AZ),Chaparral H.S. ,AZ
2021-2022,2022,2021,95,Ally Van Timmeren,91,Boston College,F,6,2,Jenison H.S. (MI),Jenison H.S. ,MI
2021-2022,2022,2021,96,Mallorie Haines,91,Davidson,G,5,10,Davidson Day School (NC),Davidson Day School ,NC
2021-2022,2022,2021,97,Stefanie Kulesza,91,UMass,G,5,11,Conrad H.S. (DE),Conrad H.S. ,DE
2021-2022,2022,2021,98,Katie Borowicz,91,Minnesota,PG,5,6,Roseau H.S.,Roseau H.S.,
2021-2022,2022,2021,99,Nyah Wilson,91,Syracuse,G,5,8,Duncanville H.S. (TX),Duncanville H.S. ,TX
2021-2022,2022,2021,100,Aaronette Vonleh,91,Arizona,P,6,3,West Linn H.S. (OR),West Linn H.S. ,OR
2026-2027,2027,2026,1,Saniyah Hall,98,USC,G,6-0,,SPIRE Institute (OH),SPIRE Institute,OH
2026-2027,2027,2026,2,Oliviyah Edwards,98,Tennessee,F,6-3,,Lincoln H.S. (WA),Lincoln H.S.,WA
2026-2027,2027,2026,3,Olivia Vukosa,98,UConn,P,6-4,,Christ the King H.S. (NY),Christ the King,NY
2026-2027,2027,2026,4,Kate Harpring,98,North Carolina,PG,5-10,,Marist School (GA),Marist School,GA
2026-2027,2027,2026,5,Jerzy Robinson,97,South Carolina,G,6-0,,Sierra Canyon H.S. (CA),Sierra Canyon,CA
2026-2027,2027,2026,6,McKenna Woliczko,97,Iowa,W,6-2,,Archbishop Mitty H.S. (CA),Archbishop Mitty,CA
2026-2027,2027,2026,7,Jordyn Jackson,97,Maryland,G,6-1,,St. James Performance Academy (DC),St. James,DC
2026-2027,2027,2026,8,Brihanna Crittendon,97,Texas,W,6-3,,Riverdale Ridge H.S. (CO),Riverdale Ridge,CO
2026-2027,2027,2026,9,Jacy Abii,97,Notre Dame,W,6-2,,Legion Prep Academy (TX),Legion Prep,TX
2026-2027,2027,2026,10,Addison Bjorn,97,Texas,W,6-1,,Park Hill South H.S. (MO),Park Hill,MO
2026-2027,2027,2026,11,Trinity Jones,96,Clemson,G,6-1,,Naperville Central H.S. (IL),Naperville Central,IL
2026-2027,2027,2026,12,Autumn Fleary,96,Duke,PG,5-7,,Sidwell Friends School (DC),Sidwell Friends,DC
2026-2027,2027,2026,13,Maddyn Greenway,96,Kentucky,PG,5-8,,Providence Academy (MN),Providence Academy,MN
2026-2027,2027,2026,14,Olivia Jones,96,Vanderbilt,G,5-11,,Long Island Lutheran H.S. (NY),Long Island,NY
2026-2027,2027,2026,15,Lilly Williams,96,Michigan State,P,6-5,,Howell H.S. (MI),Howell H.S.,MI
2026-2027,2027,2026,16,Bella Flemings,96,Duke,G,6-0,,William J. Brennan H.S. (TX),William J.,TX
2026-2027,2027,2026,17,Kaeli Wynn,96,South Carolina,F,6-2,,Mater Dei H.S. (CA),Mater Dei,CA
2026-2027,2027,2026,18,Kelsi Andrews,95,South Carolina,F,6-3,,IMG Academy (FL),IMG Academy,FL
2026-2027,2027,2026,19,Savvy Swords,95,Kentucky,W,6-1,,Long Island Lutheran H.S. (NY),Long Island,NY
2026-2027,2027,2026,20,Aaliah Spaight,95,Texas,PG,5-7,,Bishop Gorman H.S. (NV),Bishop Gorman,NV
2026-2027,2027,2026,21,Melissa Odom,95,FSU,F,6-2,,Montverde Academy (FL),Montverde Academy,FL
2026-2027,2027,2026,22,Ashlyn Koupal,95,Nebraska,G,6-2,,Wagner Community School (SD),Wagner Community,SD
2026-2027,2027,2026,23,Emily McDonald,95,Kentucky,G,6-0,,Long Island Lutheran H.S. (NY),Long Island,NY
2026-2027,2027,2026,24,Jenica Lewis,95,Notre Dame,G,5-10,,Johnston H.S. (IA),Johnston H.S.,IA
2026-2027,2027,2026,25,Sanai Green,95,Duke,G,6-0,,Long Island Lutheran H.S. (NY),Long Island,NY
2026-2027,2027,2026,26,Brooklyn Haywood,95,Oregon,G,5-9,,Union H.S. (WA),Union H.S.,WA
2026-2027,2027,2026,27,Kimora Fields,95,Clemson,W,5-11,,Bradley Central H.S. (TN),Bradley Central,TN
2026-2027,2027,2026,28,Addison Nyemchek,95,Indiana,W,6-1,,Red Bank Catholic High (NJ),Red Bank,NJ
2026-2027,2027,2026,29,Lola Lampley,95,LSU,W,6-2,,Lawrence Central H.S. (IN),Lawrence Central,IN
2026-2027,2027,2026,30,Isabella Ragone,95,Notre Dame,W,6-2,,Mill Creek H.S. (GA),Mill Creek,GA
2026-2027,2027,2026,31,Morgan Stewart,95,FSU,G,5-11,,St. John's College H.S. (DC),St. John's,DC
2026-2027,2027,2026,32,Gigi Battle,95,Indiana,G,5-11,,DME Academy (FL),DME Academy,FL
2026-2027,2027,2026,33,Cydnee Bryant,95,Kansas,P,6-3,,Centennial H.S. (CA),Centennial H.S.,CA
2026-2027,2027,2026,34,Ariyana Cradle,95,Louisville,PG,5-8,,SPIRE Institute (OH),SPIRE Institute,OH
2026-2027,2027,2026,35,Jhai Johnson,95,Vanderbilt,F,6-3,,Oakland Technical H.S. (CA),Oakland Technical,CA
2026-2027,2027,2026,36,Alliyah Bell,95,Oklahoma,F,6-2,,Minot Senior H.S. (ND),Minot Senior,ND
2026-2027,2027,2026,37,Amari Byles,94,Notre Dame,F,6-2,,Kingdom Collegiate Academy (TX),Kingdom Collegiate,TX
2026-2027,2027,2026,38,Kamora Pruitt,94,NC State,F,6-2,,Legion Prep Academy (TX),Legion Prep,TX
2026-2027,2027,2026,39,Julia Scott,94,Clemson,F,6-3,,Albertus Magnus H.S. (NY),Albertus Magnus,NY
2026-2027,2027,2026,40,Natalie Kussow,94,Minnesota,G,5-10,,Arrowhead H.S. (WI),Arrowhead H.S.,WI
2026-2027,2027,2026,41,Emilia Krstevski,94,Oregon,P,6-4,,Sierra Canyon H.S. (CA),Sierra Canyon,CA
2026-2027,2027,2026,42,Mimi Thiero,94,Maryland,F,6-4,,Quaker Valley H.S. (PA),Quaker Valley,PA
2026-2027,2027,2026,43,Taylor Sofilkanich,94,Duke,P,6-4,,Saint John Vianney High (NJ),Saint John,NJ
2026-2027,2027,2026,44,Rieyan Desouze,94,Texas A&M,PG,5-6,,Legion Prep Academy (TX),Legion Prep,TX
2026-2027,2027,2026,45,Ayo Mofopefoluwa,94,Michigan,P,6-3,,Austin Preparatory School (MA),Austin Preparatory,MA
2026-2027,2027,2026,46,Amayah Garcia,94,Washington,G,5-11,,Faith Family Academy (TX),Faith Family,TX
2026-2027,2027,2026,47,Adaline Sheplee,94,Wisconsin,F,6-2,,Rice Lake H.S.,Rice Lake,
2026-2027,2027,2026,48,Arynn Finley,94,Florida,G,5-10,,Etiwanda H.S. (CA),Etiwanda H.S.,CA
2026-2027,2027,2026,49,Whitley Rogers,94,Arkansas,G,6-0,,Little Rock Christian Academy (AR),Little Rock,AR
2026-2027,2027,2026,50,Meeyah Green,94,Clemson,G,5-9,,Webb School Of Knoxville (TN),Webb School,TN
2026-2027,2027,2026,51,Chikae Desdunes,94,Penn State,G,5-9,,DME Academy (FL),DME Academy,FL
2026-2027,2027,2026,52,Irene Guiamatsia,94,North Carolina,F,6-4,,Xavier College Preparatory (AZ),Xavier College,AZ
2026-2027,2027,2026,53,KK Holman,94,Florida,PG,5-10,,Hamilton Southeastern H.S. (IN),Hamilton Southeastern,IN
2026-2027,2027,2026,54,Averie Lower,94,Arizona State,G,5-11,,Clear Creek-Amana H.S. (IA),Clear Creek-Amana,IA
2026-2027,2027,2026,55,Karisma Lewis,93,UC Santa Barbara,G,5-10,,Oak Park H.S. (CA),Oak Park,CA
2026-2027,2027,2026,56,Devin Cosgriff,93,Michigan,G,5-10,,Bishop O'Dowd H.S. (CA),Bishop O'Dowd,CA
2026-2027,2027,2026,57,Amalia Holguin,93,Texas,G,5-9,,Sage Hill H.S. (CA),Sage Hill,CA
2026-2027,2027,2026,58,Tori Oehrlein,93,Minnesota,G,5-11,,Crosby Ironton H.S. (MN),Crosby Ironton,MN
2026-2027,2027,2026,59,Jayda Porter,93,Texas A&M,F,6-3,,Rock Bridge H.S. (MO),Rock Bridge,MO
2026-2027,2027,2026,60,Jasleen Green,93,Arizona,G,5-8,,American Heritage H.S. (FL),American Heritage,FL
2026-2027,2027,2026,61,Chamiah Francis,93,FSU,F,6-2,,Booker T. Washington H.S. (FL),Booker T.,FL
2026-2027,2027,2026,62,Gabrieal Minus,93,Tennessee,W,6-0,,Hebron Christian Academy (GA),Hebron Christian,GA
2026-2027,2027,2026,63,Makayla Presser-Palmer,93,Arizona,G,5-11,,Northwestern H.S. (PA),Northwestern H.S.,PA
2026-2027,2027,2026,64,Ashlinn James,93,Indiana,PG,5-8,,Assumption H.S. (KY),Assumption H.S.,KY
2026-2027,2027,2026,65,Peyton Jones,93,Utah,G,5-11,,Valor Christian H.S. (CO),Valor Christian,CO
2026-2027,2027,2026,66,Danyella Mporokoso,93,Illinois State,PG,5-6,,Waubonsie Valley H.S. (IL),Waubonsie Valley,IL
2026-2027,2027,2026,67,Gianna Jordan,93,Texas Tech,PG,5-7,,Kingdom Collegiate Academy (TX),Kingdom Collegiate,TX
2026-2027,2027,2026,68,Myah Epps,93,Louisville,G,5-10,,Homestead H.S. (IN),Homestead H.S.,IN
2026-2027,2027,2026,69,Ava Miles,92,Nebraska,G,6-0,,Staley H.S. (MO),Staley H.S.,MO
2026-2027,2027,2026,70,Kaleo Anderson,92,Virginia Tech,G,5-11,,King's H.S. (WA),King's H.S.,WA
2026-2027,2027,2026,71,Brooklyn Renn,92,Kansas,F,6-3,,Silver Creek H.S. (IN),Silver Creek,IN
2026-2027,2027,2026,72,Ashley Knox,92,Auburn,W,6-0,,Tampa Catholic H.S. (FL),Tampa Catholic,FL
2026-2027,2027,2026,73,Aaliyah Blanchard,92,Middle Tennessee,G,5-11,,Hoover H.S. (AL),Hoover H.S.,AL
2026-2027,2027,2026,74,Atlee Vanesko,92,Ohio State,PG,5-10,,Westtown School (PA),Westtown School,PA
2026-2027,2027,2026,75,Lani Smallwood,92,Mississippi State,PG,5-7,,Albertville H.S. (AL),Albertville H.S.,AL
2026-2027,2027,2026,76,Lanelle Wright,92,Grand Canyon,G,5-9,,Minnetonka H.S. (MN),Minnetonka H.S.,MN
2026-2027,2027,2026,77,Zaniyah Williams,92,Auburn,PG,5-8,,Montverde Academy (FL),Montverde Academy,FL
2026-2027,2027,2026,78,Shania James,92,SMU,PG,5-6,,Example Academy (IL),Example Academy,IL
2026-2027,2027,2026,79,Natalya Hodge,92,Missouri,PG,5-7,,Bearden H.S. (TN),Bearden H.S.,TN
2026-2027,2027,2026,80,Erica Gribble,92,Richmond,G,5-11,,Greensburg Central Catholic H. S. (PA),Greensburg Central,PA
2026-2027,2027,2026,81,Isabella Sangha,91,Notre Dame,F,6-3,,Pine Crest H.S. (FL),Pine Crest,FL
2026-2027,2027,2026,82,Rylee Little,91,Utah,F,6-4,,Kanab H.S.,Kanab,
2026-2027,2027,2026,83,Taylor Young,91,Oregon State,G,5-11,,Crater H.S. (OR),Crater H.S.,OR
2026-2027,2027,2026,84,Mathis Dritz,91,Columbia,W,6-1,,Fairmont Prep (CA),Fairmont Prep,CA
2026-2027,2027,2026,85,Keonni Lewis,91,UNLV,PG,5-5,,Democracy Prep Academy (NV),Democracy Prep Academy,NV
2026-2027,2027,2026,86,Jordyn Wheeler,91,Stanford,G,5-10,,Niagara Academy (CAN),Niagara Academy,CAN
2026-2027,2027,2026,87,Inieye Oruh,91,Seton Hall,P,6-4,,Centennial H.S. (NV),Centennial H.S.,NV
2026-2027,2027,2026,88,Jayla Constant,91,UNLV,PG,5-9,,Grind Prep (OK),Grind Prep,OK
2026-2027,2027,2026,89,Jaelynn Housey,91,Florida Atlantic,PG,5-10,,Nova H.S. (FL),Nova,FL
2026-2027,2027,2026,90,Chante Murray,91,None,W,6-1,,Crestwood Secondary (CAN),Crestwood Secondary,CAN
2026-2027,2027,2026,91,Vienna Murray,91,Oklahoma,G,6-1,,East Ridge H.S. (MN),East Ridge,MN
2026-2027,2027,2026,92,Ambrosia Cole,91,Texas Tech,PG,5-6,,Monterey H.S. (TX),Monterey,TX
2026-2027,2027,2026,93,Annsley Trivette,91,NC State,F,6-3,,Abingdon H.S. (VA),Abingdon,VA
2026-2027,2027,2026,94,Khloe Ford,91,Missouri,F,6-3,,Hoover H.S. (AL),Hoover H.S.,AL
2026-2027,2027,2026,95,Elyse Ngenda,91,Stanford,G,5-8,,New Hampton School (NH),New Hampton School,NH
2026-2027,2027,2026,96,Tristan Rickenbacker,91,East Carolina,W,5-11,,Princess Anne H.S. (VA),Princess Anne,VA
2026-2027,2027,2026,97,Xyanna Walton,91,Northwestern,G,5-10,,Butler College Prep (IL),Butler College Prep,IL
2026-2027,2027,2026,98,Zoe Osby,91,SMU,W,6-0,,Elizabeth Seton,Elizabeth Seton,
2026-2027,2027,2026,99,Syvannah Dawson,91,St. John's,G,5-8,,Shining Stars Sports Academy (VA),Shining Stars Sports Academy,VA
2026-2027,2027,2026,100,Madeline Stewart,91,Nebraska,PG,5-9,,Lincoln Christian School (OK),Lincoln Christian School,OK
2026-2027,2027,2026,,,,,,,,,,
