team,season,conference,portal_in_count,portal_out_count,top_recruit_rank,avg_espn_grade,n_top10_recruits,n_top25_recruits,n_top50_recruits,n_recruits,recruit_star_index,n_guards,n_wings_forwards,n_bigs,avg_height_inches,ap_rank_preseason,ap_rank_peak,ap_rank_final,weeks_in_top25,peak_streak,wins,losses,win_pct,net_rating
UCLA,2022,Pac 12,,,26.0,94.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,69.0,20.0,19.0,,3.0,3.0,18.0,14.0,0.562,
UConn,2022,Big East,,,1.0,96.5,2.0,3.0,4.0,4.0,16.0,3.0,1.0,0.0,73.8,2.0,2.0,5.0,19.0,19.0,30.0,6.0,0.833,
UMass,2022,,,,97.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,71.0,,,,,,26.0,7.0,0.788,
UNC,2022,ACC,,,9.0,95.5,1.0,4.0,4.0,4.0,15.0,2.0,2.0,0.0,72.2,,16.0,17.0,13.0,13.0,25.0,7.0,0.781,
USC,2022,,,,21.0,94.5,0.0,1.0,2.0,2.0,4.0,1.0,0.0,1.0,76.0,,,,,,12.0,16.0,0.429,
Utah,2022,,,,42.0,93.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,74.0,,,,,,21.0,12.0,0.636,
Vanderbilt,2022,,,,57.0,91.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,70.0,,,,,,16.0,19.0,0.457,
Virginia Tech,2022,ACC,,,61.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,73.0,24.0,17.0,16.0,8.0,8.0,23.0,10.0,0.697,
Wake Forest,2022,,,,60.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,72.0,,,,,,16.0,17.0,0.485,
Washington,2022,,,,76.0,91.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,0.0,71.0,,,,,,7.0,16.0,0.304,
West Virginia,2022,Big 12,,,59.0,91.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,73.0,19.0,22.0,,3.0,3.0,15.0,15.0,0.5,
Xavier,2022,,,,46.0,93.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,75.0,,,,,,9.0,21.0,0.3,
Arizona,2023,Pac 12,,,9.0,94.75,1.0,2.0,3.0,4.0,10.0,3.0,1.0,0.0,70.8,19.0,12.0,24.0,18.0,18.0,22.0,10.0,0.688,
Arizona State,2023,,,,73.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,68.0,,,,,,8.0,22.0,0.267,
Arkansas,2023,SEC,,,,,,,,,,,,,,,17.0,,4.0,4.0,24.0,13.0,0.649,
Auburn,2023,,,,50.0,94.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,66.0,,,,,,16.0,15.0,0.516,
Baylor,2023,Big 12,,,17.0,94.67,0.0,1.0,2.0,3.0,4.0,0.0,2.0,1.0,74.0,18.0,17.0,,10.0,10.0,20.0,13.0,0.606,
Boston College,2023,,,,88.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,77.0,,,,,,16.0,17.0,0.485,
California,2023,,,,51.0,94.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,72.0,,,,,,13.0,17.0,0.433,
Clemson,2023,,,,15.0,97.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,72.0,,,,,,19.0,16.0,0.543,
Colorado,2023,Pac 12,,,,,,,,,,,,,,,20.0,20.0,7.0,7.0,26.0,9.0,0.743,
Creighton,2023,Big East,,,,,,,,,,,,,,21.0,13.0,,9.0,9.0,22.0,9.0,0.71,
DePaul,2023,,,,95.0,91.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,74.0,,,,,,16.0,17.0,0.485,
Duke,2023,ACC,,,16.0,95.5,0.0,1.0,2.0,2.0,4.0,1.0,1.0,0.0,72.5,,9.0,13.0,10.0,10.0,26.0,7.0,0.788,
East Carolina,2023,,,,70.0,93.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,74.0,,,,,,23.0,10.0,0.697,
Florida State,2023,ACC,,,14.0,97.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,68.0,,19.0,,5.0,5.0,23.0,10.0,0.697,
Georgetown,2023,,,,75.0,92.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,68.0,,,,,,14.0,17.0,0.452,
Georgia,2023,,,,47.0,94.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,73.0,,,,,,22.0,12.0,0.647,
Georgia Tech,2023,,,,24.0,94.5,0.0,1.0,1.0,2.0,3.0,2.0,0.0,0.0,70.5,,,,,,13.0,17.0,0.433,
Gonzaga,2023,WCC,,,,,,,,,,,,,,,15.0,16.0,15.0,15.0,28.0,5.0,0.848,
Harvard,2023,,,,86.0,91.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,71.0,,,,,,20.0,12.0,0.625,
Illinois,2023,Big Ten,,,65.0,93.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,71.0,,21.0,,4.0,4.0,22.0,10.0,0.688,
Indiana,2023,Big Ten,,,68.0,93.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,68.0,11.0,2.0,3.0,18.0,18.0,28.0,4.0,0.875,
Iowa,2023,Big Ten,,,45.0,92.33,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,72.0,4.0,4.0,2.0,18.0,18.0,31.0,7.0,0.816,
Iowa State,2023,Big 12,,,,,,,,,,,,,,8.0,5.0,,17.0,17.0,22.0,10.0,0.688,
Kansas,2023,Big 12,,,,,,,,,,,,,,,20.0,,5.0,5.0,25.0,11.0,0.694,
Kansas State,2023,Big 12,,,,,,,,,,,,,,,24.0,,2.0,2.0,19.0,17.0,0.528,
