season,team,n_recruits,top_recruit_rank,avg_espn_grade,median_espn_grade,n_top10_recruits,n_top25_recruits,n_top50_recruits,n_guards,n_wings_forwards,n_bigs,avg_height_inches,recruit_star_index
2026,Notre Dame,1,26.0,96.0,96.0,0,0,1,0,1,0,74.0,1
2026,Utah,2,28.0,95.0,95.0,0,0,2,2,0,0,69.0,2
2026,Illinois,4,29.0,93.75,94.0,0,0,3,1,3,0,72.2,3
2026,Pittsburgh,2,30.0,93.5,93.5,0,0,1,2,0,0,69.0,1
2026,Michigan State,2,33.0,93.0,93.0,0,0,1,2,0,0,69.5,1
2026,Maryland,1,34.0,95.0,95.0,0,0,1,1,0,0,69.0,1
2026,Indiana,2,35.0,94.5,94.5,0,0,2,1,1,0,72.5,2
2026,Miami (FL),4,36.0,93.0,93.0,0,0,1,3,1,0,72.0,1
2026,Mississippi State,3,37.0,93.33,94.0,0,0,2,1,2,0,73.7,2
2026,Michigan,3,39.0,92.67,93.0,0,0,1,1,2,0,72.3,1
2026,Baylor,1,41.0,94.0,94.0,0,0,1,1,0,0,72.0,1
2026,Georgia,3,46.0,93.0,94.0,0,0,2,2,1,0,72.7,2
2026,Alabama,3,51.0,92.67,93.0,0,0,0,2,1,0,71.0,0
2026,Minnesota,1,52.0,94.0,94.0,0,0,0,1,0,0,71.0,0
2026,Oregon,1,53.0,94.0,94.0,0,0,0,1,0,0,70.0,0
2026,Oklahoma State,1,56.0,93.0,93.0,0,0,0,1,0,0,72.0,0
2026,Florida,1,59.0,93.0,93.0,0,0,0,0,1,0,73.0,0
2026,Syracuse,1,60.0,93.0,93.0,0,0,0,0,1,0,73.0,0
2026,Harvard,1,61.0,93.0,93.0,0,0,0,0,1,0,73.0,0
2026,Purdue,1,63.0,93.0,93.0,0,0,0,0,0,1,77.0,0
2026,Clemson,2,64.0,92.0,92.0,0,0,0,1,1,0,70.5,0
2026,NC State,2,65.0,92.5,92.5,0,0,0,2,0,0,69.5,0
2026,,1,69.0,92.0,92.0,0,0,0,1,0,0,72.0,0
2026,Creighton,3,70.0,91.67,92.0,0,0,0,1,2,0,71.3,0
2026,Virginia Tech,2,74.0,92.0,92.0,0,0,0,1,1,0,71.5,0
2026,Boston College,1,76.0,92.0,92.0,0,0,0,1,0,0,70.0,0
2026,Louisville,1,78.0,92.0,92.0,0,0,0,0,1,0,76.0,0
2026,Villanova,1,79.0,92.0,92.0,0,0,0,1,0,0,72.0,0
2026,Colorado,1,81.0,92.0,92.0,0,0,0,0,1,0,75.0,0
2026,Ohio State,1,83.0,92.0,92.0,0,0,0,1,0,0,73.0,0
2026,BYU,1,86.0,91.0,91.0,0,0,0,1,0,0,68.0,0
2026,West Virginia,1,88.0,91.0,91.0,0,0,0,1,0,0,71.0,0
2026,Ole Miss,1,90.0,91.0,91.0,0,0,0,1,0,0,69.0,0
2026,Virginia,1,94.0,91.0,91.0,0,0,0,1,0,0,70.0,0
2026,Auburn,1,95.0,91.0,91.0,0,0,0,1,0,0,70.0,0
2027,USC,1,1.0,98.0,98.0,1,1,1,1,0,0,,6
2027,Tennessee,2,2.0,95.5,95.5,1,1,1,0,2,0,,6
2027,UConn,1,3.0,98.0,98.0,1,1,1,0,0,1,,6
2027,UNC,2,4.0,96.0,96.0,1,1,1,1,1,0,,6
2027,South Carolina,3,5.0,96.0,96.0,1,3,3,1,2,0,,12
2027,Iowa,1,6.0,97.0,97.0,1,1,1,0,1,0,,6
2027,Maryland,2,7.0,95.5,95.5,1,1,2,1,1,0,,7
2027,Texas,4,8.0,95.5,96.0,2,3,3,2,2,0,,15
2027,Notre Dame,5,9.0,94.4,95.0,1,2,4,1,4,0,,11
2027,Clemson,4,11.0,94.75,94.5,0,1,4,2,2,0,,6
2027,Duke,4,12.0,95.25,95.5,0,3,4,3,0,1,,10
2027,Kentucky,3,13.0,95.33,95.0,0,3,3,2,1,0,,9
2027,Vanderbilt,2,14.0,95.5,95.5,0,1,2,1,1,0,,4
2027,Michigan State,1,15.0,96.0,96.0,0,1,1,0,0,1,,3
2027,FSU,3,21.0,94.33,95.0,0,1,2,1,2,0,,4
2027,Nebraska,3,22.0,92.67,92.0,0,1,1,3,0,0,,3
2027,Oregon,2,26.0,94.5,94.5,0,0,2,1,0,1,,2
2027,Indiana,3,28.0,94.33,95.0,0,0,2,2,1,0,,2
2027,LSU,1,29.0,95.0,95.0,0,0,1,0,1,0,,1
2027,Kansas,2,33.0,93.5,93.5,0,0,1,0,1,1,,1
2027,Louisville,2,34.0,94.0,94.0,0,0,1,2,0,0,,1
2027,Oklahoma,2,36.0,93.0,93.0,0,0,1,1,1,0,,1
2027,NC State,2,38.0,92.5,92.5,0,0,1,0,2,0,,1
2027,Minnesota,2,40.0,93.5,93.5,0,0,1,2,0,0,,1
2027,Texas A&M,2,44.0,93.5,93.5,0,0,1,1,1,0,,1
2027,Michigan,2,45.0,93.5,93.5,0,0,1,1,0,1,,1
2027,Washington,1,46.0,94.0,94.0,0,0,1,1,0,0,,1
2027,Wisconsin,1,47.0,94.0,94.0,0,0,1,0,1,0,,1
2027,Florida,2,48.0,94.0,94.0,0,0,1,2,0,0,,1
2027,Arkansas,1,49.0,94.0,94.0,0,0,1,1,0,0,,1
2027,Penn State,1,51.0,94.0,94.0,0,0,0,1,0,0,,0
2027,Arizona State,1,54.0,94.0,94.0,0,0,0,1,0,0,,0
2027,UC Santa Barbara,1,55.0,93.0,93.0,0,0,0,1,0,0,,0
2027,Arizona,2,60.0,93.0,93.0,0,0,0,2,0,0,,0
2027,Utah,2,65.0,92.0,92.0,0,0,0,1,1,0,,0
2027,Illinois State,1,66.0,93.0,93.0,0,0,0,1,0,0,,0
2027,Texas Tech,2,67.0,92.0,92.0,0,0,0,2,0,0,,0
2027,Virginia Tech,1,70.0,92.0,92.0,0,0,0,1,0,0,,0
2027,Auburn,2,72.0,92.0,92.0,0,0,0,1,1,0,,0
2027,Middle Tennessee,1,73.0,92.0,92.0,0,0,0,1,0,0,,0
2027,Ohio State,1,74.0,92.0,92.0,0,0,0,1,0,0,,0
2027,Mississippi State,1,75.0,92.0,92.0,0,0,0,1,0,0,,0
2027,Grand Canyon,1,76.0,92.0,92.0,0,0,0,1,0,0,,0
2027,SMU,2,78.0,91.5,91.5,0,0,0,1,1,0,,0
2027,Missouri,2,79.0,91.5,91.5,0,0,0,1,1,0,,0
2027,Richmond,1,80.0,92.0,92.0,0,0,0,1,0,0,,0
2027,Oregon State,1,83.0,91.0,91.0,0,0,0,1,0,0,,0
2027,Columbia,1,84.0,91.0,91.0,0,0,0,0,1,0,,0
2027,UNLV,2,85.0,91.0,91.0,0,0,0,2,0,0,,0
2027,Stanford,2,86.0,91.0,91.0,0,0,0,2,0,0,,0
2027,Seton Hall,1,87.0,91.0,91.0,0,0,0,0,0,1,,0
2027,Florida Atlantic,1,89.0,91.0,91.0,0,0,0,1,0,0,,0
2027,,2,90.0,91.0,91.0,0,0,0,0,1,0,,0
2027,East Carolina,1,96.0,91.0,91.0,0,0,0,0,1,0,,0
2027,Northwestern,1,97.0,91.0,91.0,0,0,0,1,0,0,,0
2027,St. John's (NY),1,99.0,91.0,91.0,0,0,0,1,0,0,,0
