Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Overall,Overall,Overall,Unnamed: 6_level_0,Conference,Conference,Conference,Unnamed: 10_level_0,PTS/G,PTS/G,Unnamed: 13_level_0,SRS,SRS,Unnamed: 16_level_0,Polls,Polls,Polls,Unnamed: 20_level_0,Unnamed: 21_level_0
Rk,School,Conf,W,L,W-L%,Unnamed: 6_level_1,W,L,W-L%,Unnamed: 10_level_1,Own,Opp,Unnamed: 13_level_1,SRS,SOS,Unnamed: 16_level_1,AP Pre,AP High,AP Final,Unnamed: 20_level_1,Notes
10,Portland State,Big Sky,6,25,0.194,,2,16,0.111,,62.9,75.5,,-15.01,-2.41,,,,,,
1,High Point,Big South,27,5,0.844,,13,3,0.813,,73.0,59.9,,-0.15,-13.22,,,,,,Reg. Season Champion
2,Radford,Big South,22,12,0.647,,12,4,0.75,,66.5,61.8,,-5.88,-10.57,,,,,,
3,Longwood,Big South,21,10,0.677,,11,5,0.688,,72.6,68.1,,-5.91,-10.37,,,,,,
4,Gardner-Webb,Big South,12,19,0.387,,9,7,0.563,,55.2,62.7,,-19.58,-12.13,,,,,,
5,Winthrop,Big South,15,17,0.469,,7,9,0.438,,64.0,70.1,,-15.49,-9.32,,,,,,
6,UNC Asheville,Big South,12,18,0.4,,7,9,0.438,,57.7,63.2,,-19.26,-13.7,,,,,,
7,South Carolina Upstate,Big South,12,20,0.375,,6,10,0.375,,54.0,64.9,,-21.43,-10.57,,,,,,
8,Charleston Southern,Big South,8,22,0.267,,6,10,0.375,,60.7,73.2,,-19.6,-7.16,,,,,,
9,Presbyterian,Big South,3,27,0.1,,1,15,0.063,,50.5,74.7,,-34.27,-10.09,,,,,,
1,UCLA,Big Ten,31,1,0.969,,18,0,1.0,,85.1,57.0,,48.89,20.77,,3.0,2.0,,,Reg. Season Champion
2,Iowa,Big Ten,26,6,0.813,,15,3,0.833,,76.8,65.2,,32.64,21.01,,21.0,8.0,,,
3,Michigan,Big Ten,25,6,0.806,,15,3,0.833,,83.6,63.0,,39.44,18.76,,13.0,6.0,,,
4,Ohio State,Big Ten,26,7,0.788,,13,5,0.722,,81.7,66.2,,32.48,16.97,,,8.0,,,
5,Minnesota,Big Ten,22,8,0.733,,13,5,0.722,,74.9,57.9,,32.23,15.23,,,19.0,,,
6,Maryland,Big Ten,23,8,0.742,,11,7,0.611,,82.3,63.2,,32.27,13.24,,10.0,7.0,,,
7,Michigan State,Big Ten,22,8,0.733,,11,7,0.611,,83.0,65.9,,32.1,14.97,,23.0,12.0,,,
8,Washington,Big Ten,21,10,0.677,,10,8,0.556,,71.7,62.2,,26.04,16.55,,,20.0,,,
9,Illinois,Big Ten,21,11,0.656,,9,9,0.5,,77.5,66.1,,25.39,14.01,,,25.0,,,
10,Southern California,Big Ten,17,13,0.567,,9,9,0.5,,69.9,62.9,,28.03,20.97,,18.0,8.0,,,
11,Oregon,Big Ten,22,12,0.647,,8,10,0.444,,74.7,64.5,,26.48,16.27,,,,,,
12,Nebraska,Big Ten,18,12,0.6,,7,11,0.389,,79.3,67.7,,27.3,15.67,,,20.0,,,
13,Indiana,Big Ten,18,14,0.563,,6,12,0.333,,71.4,70.2,,16.98,15.77,,,,,,
14,Purdue,Big Ten,13,17,0.433,,5,13,0.278,,69.4,72.2,,12.48,15.28,,,,,,
15,Wisconsin,Big Ten,13,17,0.433,,5,13,0.278,,68.5,73.1,,11.76,16.36,,,,,,
16,Penn State,Big Ten,11,18,0.379,,4,14,0.222,,74.4,82.2,,9.86,17.66,,,,,,
17,Northwestern,Big Ten,8,21,0.276,,2,16,0.111,,65.4,75.9,,6.06,16.58,,,,,,
18,Rutgers,Big Ten,9,20,0.31,,1,17,0.056,,58.0,69.5,,2.39,13.84,,,,,,
1,UC Irvine,Big West,26,5,0.839,,17,3,0.85,,71.7,57.7,,7.74,-6.26,,,,,,
2,UC San Diego,Big West,22,8,0.733,,17,3,0.85,,70.5,62.6,,3.12,-4.78,,,,,,
3,UC Davis,Big West,22,9,0.71,,15,5,0.75,,67.9,65.6,,-1.21,-3.52,,,,,,
4,Hawaii,Big West,20,10,0.667,,14,6,0.7,,64.4,57.6,,3.41,-3.38,,,,,,
5,Cal State Fullerton,Big West,17,13,0.567,,13,7,0.65,,69.6,67.7,,-3.09,-5.06,,,,,,
6,UC Santa Barbara,Big West,20,9,0.69,,12,8,0.6,,66.1,60.5,,1.46,-4.18,,,,,,
7,UC Riverside,Big West,10,20,0.333,,8,12,0.4,,62.0,66.5,,-6.72,-2.14,,,,,,
8,Cal State Northridge,Big West,10,19,0.345,,6,14,0.3,,61.7,69.1,,-11.23,-3.78,,,,,,
9,Long Beach State,Big West,5,25,0.167,,4,16,0.2,,55.5,72.6,,-17.58,-0.52,,,,,,
10,Cal State Bakersfield,Big West,7,23,0.233,,2,18,0.1,,61.3,70.1,,-13.68,-4.85,,,,,,
11,Cal Poly,Big West,4,26,0.133,,2,18,0.1,,55.7,75.5,,-19.36,0.42,,,,,,
1,College of Charleston,CAA,24,5,0.828,,16,2,0.889,,71.3,59.9,,3.67,-7.74,,,,,,Reg. Season Champion
2,Drexel,CAA,20,9,0.69,,13,5,0.722,,62.8,57.9,,-2.89,-7.79,,,,,,
3,Campbell,CAA,20,11,0.645,,13,5,0.722,,58.4,57.2,,-6.15,-7.39,,,,,,
4,Monmouth,CAA,19,10,0.655,,12,6,0.667,,61.3,59.8,,-6.06,-7.59,,,,,,
5,Stony Brook,CAA,17,14,0.548,,12,6,0.667,,55.2,58.0,,-8.71,-5.92,,,,,,
6,Towson,CAA,17,13,0.567,,10,8,0.556,,65.0,66.5,,-7.18,-5.73,,,,,,
7,Elon,CAA,15,15,0.5,,10,8,0.556,,63.5,62.7,,-6.25,-7.08,,,,,,
8,William & Mary,CAA,16,13,0.552,,9,9,0.5,,60.4,60.8,,-7.58,-7.22,,,,,,
9,North Carolina A&T,CAA,12,17,0.414,,7,11,0.389,,59.6,66.8,,-9.97,-2.73,,,,,,
10,Hofstra,CAA,8,21,0.276,,6,12,0.333,,52.9,61.3,,-12.04,-3.65,,,,,,
