season,team,conference,preseason_rank,best_rank,worst_rank,avg_rank_when_ranked,final_rank,weeks_in_top25,peak_streak,first_ranked_week,last_ranked_week
2024,Tennessee,SEC,11.0,15.0,20.0,18.0,,4,4,Pre,11/27
2024,Texas,Big 12,13.0,3.0,12.0,7.42,7.0,21,21,Pre,Post
2024,UCLA,Pac 12,4.0,2.0,12.0,4.74,10.0,21,21,Pre,Post
2024,UConn,Big East,2.0,6.0,17.0,11.79,3.0,21,21,Pre,Post
2024,UNC,ACC,16.0,17.0,25.0,22.09,,12,12,Pre,1/29
2024,UNLV,MWC,,20.0,25.0,23.0,,7,7,12/11,3/18
2024,USC,Pac 12,21.0,3.0,15.0,7.53,5.0,21,21,Pre,Post
2024,Utah,Pac 12,5.0,4.0,22.0,15.89,22.0,21,21,Pre,Post
2024,Virginia Tech,ACC,8.0,5.0,19.0,12.58,18.0,21,21,Pre,Post
2024,Washington,Pac 12,,23.0,23.0,23.0,,1,1,12/18,12/18
2024,Washington State,Pac 12,24.0,21.0,24.0,22.67,,4,4,Pre,12/4
2024,West Virginia,Big 12,,22.0,25.0,23.56,24.0,10,10,12/25,Post
2025,Alabama,SEC,24.0,18.0,24.0,20.47,20.0,19,19,Pre,Post
2025,Baylor,Big 12,12.0,14.0,25.0,18.44,18.0,11,11,Pre,Post
2025,California,ACC,,18.0,24.0,21.12,,8,8,12/16,2/3
2025,Creighton,Big East,21.0,22.0,24.0,22.83,,7,7,Pre,3/17
2025,Duke,ACC,11.0,7.0,16.0,11.89,7.0,21,21,Pre,Post
2025,Florida State,ACC,19.0,22.0,25.0,23.0,22.0,9,9,Pre,Post
2025,Georgia Tech,ACC,,13.0,25.0,17.45,,11,11,12/9,2/17
2025,Illinois,Big Ten,,19.0,25.0,22.0,,5,5,11/11,2/17
2025,Indiana,Big Ten,25.0,,,,,1,1,Pre,Pre
2025,Iowa,Big Ten,,17.0,24.0,21.71,,7,7,11/25,1/6
2025,Iowa State,Big 12,8.0,8.0,20.0,13.8,,6,6,Pre,12/9
2025,Kansas State,Big 12,13.0,9.0,20.0,12.95,13.0,21,21,Pre,Post
2025,Kentucky,SEC,22.0,8.0,20.0,13.84,16.0,21,21,Pre,Post
2025,LSU,SEC,7.0,4.0,10.0,6.53,8.0,21,21,Pre,Post
2025,Louisville,ACC,17.0,18.0,25.0,22.8,,6,6,Pre,2/24
2025,Maryland,Big Ten,18.0,7.0,21.0,12.21,12.0,21,21,Pre,Post
2025,Michigan,Big Ten,,20.0,25.0,22.71,25.0,8,8,12/2,Post
2025,Michigan State,Big Ten,,15.0,24.0,20.43,,14,14,12/2,3/3
2025,Minnesota,Big Ten,,23.0,24.0,23.5,,2,2,1/13,1/20
2025,NC State,ACC,9.0,7.0,22.0,16.11,9.0,20,20,Pre,Post
2025,Nebraska,Big Ten,23.0,21.0,25.0,23.17,,7,7,Pre,12/16
2025,Notre Dame,ACC,6.0,1.0,10.0,4.47,10.0,21,21,Pre,Post
2025,Ohio State,Big Ten,14.0,8.0,15.0,10.89,19.0,21,21,Pre,Post
