date,team,conference,NET Rank,PrevNET,AvgOppNETRank,AvgOppNET,DivIWL,ConfRecord,Non-ConfRecord,RoadWL,NETSOS,NetNonConfSOS,WABRk,WAB,NCWABRk,NCWAB,Last10Games,Q1,Q2,Q3,Q4
2026-02-03,Providence,Big East,174,174,87,150,10-13,3-9,7-4,1-6,91,248,202,-7.56,148,-2.45,2-8,0-3,0-4,1-1,9-5
2026-02-03,ULM,Sun Belt,175,176,109,160,9-12,4-8,5-4,2-8,131,83,223,-8.08,109,-1.58,4-6,0-2,0-2,0-3,9-5
2026-02-03,UAB,American,176,175,171,182,8-12,1-8,7-4,2-6,225,272,251,-9.5,156,-2.62,2-8,0-1,0-1,0-3,8-7
2026-02-03,Liberty,CUSA,177,177,112,161,8-10,3-4,5-6,4-3,138,100,184,-6.89,199,-3.25,4-6,0-1,1-2,0-1,7-6
2026-02-03,La Salle,Atlantic 10,178,178,149,175,11-10,5-6,6-4,7-4,201,228,191,-7.06,150,-2.5,4-6,0-0,0-4,0-2,11-4
2026-02-03,SMU,ACC,179,179,52,127,8-14,1-9,7-5,2-6,62,254,199,-7.5,202,-3.35,2-8,0-5,0-3,0-1,8-5
2026-02-03,Fresno St.,Mountain West,180,180,199,191,9-13,4-8,5-5,2-9,175,159,254,-9.7,182,-3.04,3-7,0-1,0-2,0-5,9-5
2026-02-03,Saint Mary's (CA),WCC,181,181,138,171,11-10,4-6,7-4,7-4,145,109,177,-6.48,100,-1.39,4-6,0-2,0-1,0-4,11-3
2026-02-03,Eastern Mich.,MAC,182,182,195,190,9-10,4-6,5-4,4-8,189,171,195,-7.22,138,-2.31,4-6,0-1,0-3,0-2,9-4
2026-02-03,Ohio,MAC,183,183,199,191,11-8,6-4,5-4,5-4,287,306,174,-6.22,187,-3.1,6-4,0-0,0-2,1-1,10-5
2026-02-03,Southern Utah,WAC,184,184,250,202,12-7,7-3,5-4,4-6,331,320,152,-5.62,195,-3.19,7-3,0-0,0-0,0-4,12-3
2026-02-03,Chattanooga,SoCon,185,185,326,229,13-5,7-0,6-5,5-2,334,293,111,-3.7,222,-3.78,10-0,0-0,0-2,0-0,13-3
2026-02-03,App State,Sun Belt,186,186,158,178,8-11,3-8,5-3,3-7,164,110,218,-8.02,90,-1.1,3-7,0-2,0-1,0-2,8-6
2026-02-03,Northern Ky.,Horizon,187,187,125,168,10-14,7-6,3-8,4-8,181,93,270,-10.44,265,-5.13,7-3,0-2,0-1,1-2,9-9
2026-02-03,Xavier,Big East,188,188,84,149,11-11,4-9,7-2,3-5,96,355,169,-6.1,113,-1.66,3-7,0-3,1-1,1-3,9-4
2026-02-03,SFA,Southland,189,189,317,227,13-7,9-4,4-3,4-4,349,308,163,-5.95,140,-2.31,8-2,0-0,0-0,0-3,13-4
2026-02-03,South Alabama,Sun Belt,190,190,179,185,9-12,2-9,7-3,2-8,230,316,250,-9.44,128,-2.07,2-8,0-0,0-2,0-5,9-5
2026-02-03,VCU,Atlantic 10,191,191,54,128,8-15,4-7,4-8,1-6,84,101,249,-9.43,258,-5.01,4-6,0-2,0-7,0-3,8-3
2026-02-03,Loyola Chicago,Atlantic 10,192,192,112,161,10-11,6-4,4-7,6-4,153,253,203,-7.56,281,-5.47,6-4,0-2,0-2,1-2,9-5
2026-02-03,Saint Louis,Atlantic 10,193,193,125,168,10-13,5-6,5-7,4-6,290,321,275,-10.89,302,-5.92,4-6,0-0,0-1,0-3,10-9
2026-02-03,Morehead St.,OVC,194,194,179,185,13-9,9-3,4-6,5-6,134,51,138,-5.07,174,-2.85,9-1,0-3,0-0,1-1,12-5
2026-02-03,Stetson,ASUN,195,195,243,201,11-8,6-4,5-4,6-5,244,168,157,-5.81,137,-2.3,6-4,0-1,0-1,2-0,9-6
2026-02-03,Longwood,Big South,196,196,319,228,12-6,6-2,6-4,4-4,222,137,112,-3.71,121,-1.86,8-2,0-2,0-0,0-1,12-3
2026-02-03,NJIT,America East,197,197,310,224,13-9,4-5,9-4,7-3,324,322,196,-7.29,172,-2.84,5-5,0-1,0-0,0-1,13-7
2026-02-03,Tennessee Tech,OVC,198,204,306,223,10-9,5-7,5-2,2-7,299,240,197,-7.3,83,-1,3-7,0-1,0-0,0-2,10-6
2026-02-03,Robert Morris,Horizon,199,199,333,232,13-7,8-5,5-2,7-5,353,362,168,-6.09,122,-1.86,6-4,0-0,0-0,0-2,13-5
2026-02-03,Cal St. Fullerton,Big West,200,198,286,215,10-9,8-3,2-6,5-4,351,359,221,-8.04,292,-5.74,6-4,0-0,0-0,1-1,9-8
2026-02-03,FIU,CUSA,201,201,260,206,11-8,5-4,6-4,4-4,345,336,186,-6.89,201,-3.33,5-5,0-0,0-0,0-2,11-6
2026-02-03,Lehigh,Patriot,202,202,234,198,10-10,6-3,4-7,4-6,263,204,212,-7.89,269,-5.21,6-4,0-1,0-1,2-1,8-7
2026-02-03,Monmouth,CAA,203,200,330,231,10-7,6-3,4-4,5-5,320,243,154,-5.66,175,-2.86,7-3,0-1,0-0,0-0,10-6
2026-02-03,UMBC,America East,204,203,258,205,9-10,6-3,3-7,5-5,232,179,207,-7.72,270,-5.22,6-4,1-1,0-0,0-1,8-8
2026-02-03,Tarleton St.,WAC,205,205,229,197,9-9,5-4,4-5,3-6,238,177,185,-6.89,203,-3.39,5-5,0-1,0-0,0-4,9-4
2026-02-03,UT Arlington,WAC,206,206,144,174,8-13,2-7,6-6,1-10,185,150,260,-9.91,213,-3.57,2-8,0-1,0-2,1-1,7-9
2026-02-03,Georgia St.,Sun Belt,207,207,76,143,7-14,4-7,3-7,3-9,109,160,253,-9.67,261,-5.05,4-6,0-1,1-5,1-2,5-6
2026-02-03,Dayton,Atlantic 10,208,208,179,185,11-11,4-7,7-4,4-5,229,290,230,-8.29,169,-2.76,4-6,0-0,1-4,0-0,10-7
2026-02-03,Delaware,CUSA,209,209,237,199,9-11,3-3,6-8,5-5,328,317,252,-9.5,321,-6.72,4-6,0-0,0-2,0-0,9-9
2026-02-03,Southern U.,SWAC,210,210,234,198,9-9,7-2,2-7,5-9,57,2,103,-3.29,95,-1.32,7-3,0-6,0-0,0-0,9-3
2026-02-03,Bowling Green,MAC,211,211,138,171,7-10,4-6,3-4,3-6,146,63,193,-7.16,126,-1.95,4-6,0-1,0-2,0-3,7-4
2026-02-03,UIC,MVC,212,212,250,202,10-11,5-5,5-6,3-6,317,284,246,-9.29,252,-4.72,4-6,0-0,1-1,0-1,9-9
2026-02-03,Utah Valley,WAC,213,213,189,187,8-10,3-6,5-4,3-6,323,304,236,-8.6,185,-3.09,3-7,0-0,0-1,0-0,8-9
2026-02-03,Campbell,CAA,214,214,316,226,12-8,7-2,5-6,5-6,340,313,181,-6.7,257,-4.96,7-3,0-0,0-1,0-1,12-6
2026-02-03,Eastern Wash.,Big Sky,215,215,193,189,9-11,4-5,5-6,5-7,246,250,237,-8.71,244,-4.46,4-6,0-0,0-3,1-2,8-6
2026-02-03,Jacksonville St.,CUSA,216,216,281,213,8-10,5-3,3-7,4-7,291,288,234,-8.35,298,-5.87,6-4,0-1,0-0,0-1,8-8
2026-02-03,DePaul,Big East,217,217,58,131,5-19,2-11,3-8,0-11,78,162,309,-12.67,300,-5.89,2-8,0-4,0-3,1-4,4-8
2026-02-03,Northwestern St.,Southland,218,218,209,193,9-9,8-4,1-5,6-5,116,6,147,-5.39,125,-1.89,6-4,0-2,0-2,1-0,8-5
2026-02-03,Elon,CAA,219,219,275,211,9-11,5-4,4-7,3-6,274,247,242,-8.98,280,-5.44,6-4,0-1,0-1,0-2,9-7
2026-02-03,UTRGV,Southland,220,220,250,202,11-9,10-3,1-6,7-3,148,15,153,-5.66,184,-3.07,8-2,0-2,0-1,0-3,11-3
2026-02-03,West Ga.,ASUN,221,221,326,229,12-7,7-3,5-4,2-6,239,172,129,-4.77,141,-2.33,7-3,0-1,0-1,0-3,12-2
2026-02-03,William & Mary,CAA,222,222,310,224,10-9,4-5,6-4,7-3,326,279,201,-7.55,170,-2.79,5-5,0-0,0-2,1-0,9-7
2026-02-03,Memphis,American,223,223,143,173,7-13,2-6,5-7,3-7,195,192,265,-10.14,256,-4.95,3-7,0-1,0-1,0-5,7-6
2026-02-03,UT Martin,OVC,224,224,202,192,8-9,7-4,1-5,4-8,219,118,183,-6.81,215,-3.62,6-4,0-1,0-0,0-4,8-4
2026-02-03,Washington St.,WCC,225,225,25,110,4-20,3-8,1-12,2-7,68,18,317,-13.3,323,-6.76,2-8,0-2,0-5,1-7,3-6
2026-02-03,Alabama A&M,SWAC,226,227,286,215,9-9,8-1,1-8,3-5,111,17,146,-5.3,239,-4.33,8-2,0-3,0-1,0-1,9-4
2026-02-03,Drake,MVC,227,228,108,159,6-15,5-6,1-9,4-5,128,52,277,-11,297,-5.86,4-6,0-2,0-1,0-3,6-9
2026-02-03,Wofford,SoCon,228,229,275,211,8-10,5-2,3-8,5-7,249,189,215,-7.96,305,-6.1,5-5,0-1,0-0,0-4,8-5
2026-02-03,St. Bonaventure,Atlantic 10,229,230,270,210,11-11,3-8,8-3,5-7,292,360,243,-8.99,160,-2.66,3-7,0-0,0-2,1-1,10-8
2026-02-03,Furman,SoCon,230,231,262,207,10-8,6-1,4-7,5-6,130,64,127,-4.63,221,-3.78,7-3,0-2,0-3,0-0,10-3
2026-02-03,Sacramento St.,Big Sky,231,226,234,198,9-12,5-5,4-7,4-8,304,314,267,-10.16,303,-5.96,5-5,0-0,0-2,0-0,9-10
2026-02-03,Pacific,WCC,232,232,109,160,7-13,3-7,4-6,0-7,165,134,259,-9.9,225,-3.84,3-7,0-0,0-4,0-3,7-6
2026-02-03,Radford,Big South,233,233,336,234,13-9,7-2,6-7,4-6,275,221,182,-6.79,260,-5.03,7-3,0-2,0-0,0-3,13-4
2026-02-03,Nevada,Mountain West,234,234,138,171,6-14,3-8,3-6,1-8,282,332,297,-12.07,274,-5.34,3-7,0-0,0-1,1-5,5-8
2026-02-03,Stony Brook,CAA,235,235,267,209,9-10,7-2,2-8,3-7,294,229,229,-8.26,315,-6.5,8-2,0-1,0-1,0-0,9-8
2026-02-03,Air Force,Mountain West,236,236,195,190,8-12,3-8,5-4,4-8,266,326,261,-9.92,198,-3.25,3-7,0-0,0-1,0-5,8-6
2026-02-03,Kennesaw St.,CUSA,237,237,223,196,7-10,3-6,4-4,2-7,214,157,210,-7.79,147,-2.42,3-7,0-1,0-1,0-1,7-7
2026-02-03,Little Rock,OVC,238,238,171,182,8-11,6-5,2-6,3-8,179,86,227,-8.17,227,-3.87,5-5,0-1,0-1,0-4,8-5
2026-02-03,UC Riverside,Big West,239,239,179,185,5-14,5-6,0-8,2-10,242,176,293,-11.78,316,-6.56,4-6,0-0,0-1,0-5,5-8
2026-02-03,Texas St.,Sun Belt,240,241,177,184,8-11,6-5,2-6,3-6,200,252,232,-8.32,255,-4.88,5-5,0-1,0-2,0-2,8-6
2026-02-03,Merrimack,MAAC,241,240,306,223,10-10,8-4,2-6,5-7,277,291,219,-8.03,264,-5.1,7-3,0-0,0-3,0-2,10-5
2026-02-03,Norfolk St.,MEAC,242,244,223,196,6-12,5-2,1-10,4-10,89,28,208,-7.73,296,-5.86,5-5,0-4,0-0,0-2,6-6
2026-02-03,Fordham,Atlantic 10,243,243,243,201,8-13,1-10,7-3,2-7,209,341,266,-10.16,145,-2.4,1-9,0-1,0-4,0-1,8-7
2026-02-03,Northern Ariz.,Big Sky,244,245,144,174,5-16,3-7,2-9,3-9,254,251,322,-13.69,337,-7.46,3-7,0-0,0-1,0-6,5-9
2026-02-03,St. Thomas (MN),Summit League,245,246,191,188,7-12,3-5,4-7,2-4,196,280,247,-9.29,289,-5.68,4-6,0-1,0-2,0-2,7-7
2026-02-03,Towson,CAA,246,247,296,218,11-9,5-4,6-5,4-7,243,165,179,-6.68,178,-2.92,6-4,0-2,0-1,0-0,11-6
2026-02-03,Boston College,ACC,247,248,51,126,4-20,0-11,4-9,0-7,49,289,296,-11.94,340,-7.53,0-10,0-5,0-5,0-5,4-5
2026-02-03,UMES,MEAC,248,242,202,192,10-11,5-1,5-10,5-6,187,154,213,-7.92,329,-7.01,5-5,0-2,0-1,0-2,10-6
2026-02-03,Fla. Atlantic,American,249,249,125,168,8-13,3-7,5-6,4-6,248,282,273,-10.6,250,-4.7,3-7,0-0,0-2,1-3,7-8
2026-02-03,IU Indy,Horizon,250,250,191,188,6-13,4-8,2-5,1-9,309,249,286,-11.36,233,-4.02,4-6,0-0,0-1,0-5,6-7
2026-02-03,North Ala.,ASUN,251,251,289,216,8-10,5-4,3-6,3-7,270,207,226,-8.16,247,-4.55,5-5,0-1,0-1,0-0,8-8
2026-02-03,Wyoming,Mountain West,252,252,144,174,7-13,5-7,2-6,1-10,161,87,257,-9.83,228,-3.88,4-6,0-2,0-1,0-4,7-6
2026-02-03,UIW,Southland,253,253,255,204,8-10,8-5,0-5,3-7,147,4,189,-6.99,143,-2.38,6-4,0-2,0-1,0-2,8-5
2026-02-03,Southeast Mo. St.,OVC,254,254,243,201,6-13,4-8,2-5,2-8,236,148,274,-10.75,212,-3.57,4-6,0-1,0-1,0-2,6-9
2026-02-03,Oakland,Horizon,255,255,119,164,7-14,5-7,2-7,4-8,132,41,268,-10.17,230,-3.94,5-5,0-2,0-1,1-3,6-8
2026-02-03,ETSU,SoCon,256,256,289,216,8-11,3-3,5-8,3-4,170,133,225,-8.11,268,-5.19,6-4,0-3,0-0,0-0,8-8
2026-02-03,Mercer,SoCon,257,257,347,247,10-9,2-4,8-5,5-6,336,315,205,-7.65,220,-3.77,5-5,0-0,0-2,0-1,10-6
2026-02-03,Montana,Big Sky,258,258,109,160,6-14,4-6,2-8,3-7,105,44,256,-9.82,249,-4.68,4-6,0-2,0-4,1-1,5-7
2026-02-03,N.C. A&T,CAA,259,259,163,180,4-12,3-6,1-6,3-7,82,8,220,-8.04,146,-2.41,3-7,0-4,0-0,0-2,4-6
2026-02-03,Pittsburgh,ACC,260,260,149,175,8-14,1-9,7-5,1-7,70,310,211,-7.87,224,-3.84,1-9,0-7,0-0,0-1,8-6
2026-02-03,UNC Greensboro,SoCon,261,261,330,231,9-9,3-4,6-5,3-7,211,147,178,-6.63,167,-2.75,5-5,0-2,0-1,0-1,9-5
2026-02-03,Weber St.,Big Sky,262,269,125,168,4-16,1-9,3-7,1-10,140,81,305,-12.56,238,-4.31,1-9,0-0,0-4,0-4,4-8
2026-02-03,Duquesne,Atlantic 10,263,262,163,180,5-15,0-11,5-4,2-8,233,351,308,-12.62,216,-3.62,0-10,0-1,0-2,0-1,5-11
2026-02-03,Kansas City,Summit League,264,264,158,178,4-15,4-5,0-10,2-9,119,102,284,-11.27,339,-7.53,4-6,0-2,0-3,0-2,4-8
2026-02-03,SIUE,OVC,265,263,262,207,7-12,3-9,4-3,3-7,319,303,271,-10.5,136,-2.29,2-8,0-0,0-1,1-3,6-8
2026-02-03,Lipscomb,ASUN,266,265,223,196,6-13,5-5,1-8,3-9,283,265,280,-11.19,324,-6.82,5-5,0-0,0-2,0-2,6-9
2026-02-03,Utah St.,Mountain West,267,266,133,169,5-15,2-10,3-5,1-10,163,117,295,-11.85,190,-3.15,1-9,0-1,0-1,0-5,5-8
2026-02-03,San Diego,WCC,268,267,138,171,7-16,2-9,5-7,0-11,217,286,313,-13.02,287,-5.61,2-8,0-0,0-4,0-4,7-8
2026-02-03,Nicholls,Southland,269,268,351,253,9-10,6-7,3-3,5-6,356,347,245,-9.22,164,-2.71,4-6,0-0,0-0,0-2,9-8
2026-02-03,Loyola Maryland,Patriot,270,270,319,228,9-12,5-5,4-7,6-6,279,195,262,-9.95,267,-5.16,5-5,0-2,0-0,0-0,9-10
2026-02-03,Marist,MAAC,271,271,270,210,9-14,6-7,3-7,2-7,255,211,288,-11.48,278,-5.4,5-5,0-1,0-1,0-3,9-9
2026-02-03,Wichita St.,American,272,272,125,168,4-17,2-7,2-10,1-6,247,267,335,-14.6,350,-8.45,2-8,0-1,0-0,1-2,3-14
2026-02-03,East Texas A&M,Southland,273,273,306,223,7-10,5-7,2-3,2-7,197,25,204,-7.58,89,-1.08,5-5,0-2,0-0,0-1,7-7
2026-02-03,UTEP,CUSA,274,274,275,211,8-10,2-7,6-3,1-6,250,164,216,-7.96,94,-1.29,2-8,0-1,0-1,0-1,8-7
2026-02-03,Western Mich.,MAC,275,275,185,186,6-12,3-6,3-6,3-7,135,80,239,-8.78,211,-3.53,3-7,0-2,0-1,0-2,6-7
2026-02-03,LIU,NEC,276,276,363,296,11-8,8-2,3-6,6-5,361,345,198,-7.48,284,-5.54,8-2,0-0,0-0,0-1,11-7
2026-02-03,New Hampshire,America East,277,277,229,197,6-14,2-7,4-7,3-10,235,231,290,-11.63,275,-5.36,3-7,0-1,0-0,0-4,6-9
2026-02-03,Iona,MAAC,278,278,357,266,13-9,7-6,6-3,7-5,347,318,209,-7.75,131,-2.18,6-4,0-0,0-2,0-1,13-6
2026-02-03,Utah Tech,WAC,279,279,229,197,5-14,1-9,4-5,0-6,329,319,307,-12.58,237,-4.18,1-9,0-0,0-1,0-1,5-12
2026-02-03,Mount St. Mary's,MAAC,280,280,350,251,10-12,6-7,4-5,3-8,273,183,255,-9.78,204,-3.41,4-6,0-2,0-1,0-1,10-8
2026-02-03,Evansville,MVC,281,281,237,199,5-17,3-8,2-9,2-12,240,214,331,-14.43,336,-7.26,3-7,0-1,0-1,1-2,4-13
2026-02-03,CSU Bakersfield,Big West,282,282,267,209,6-14,2-9,4-5,4-7,330,339,304,-12.54,243,-4.41,3-7,0-0,0-1,0-2,6-11
2026-02-03,Boston U.,Patriot,283,284,289,216,6-15,3-8,3-7,4-8,288,234,314,-13.03,283,-5.52,3-7,0-1,0-0,0-3,6-11
2026-02-03,Siena,MAAC,284,285,359,270,9-12,7-5,2-7,3-8,350,340,276,-10.92,313,-6.44,5-5,0-0,0-1,0-2,9-9
2026-02-03,Alcorn,SWAC,285,283,258,205,8-9,8-1,0-8,4-6,86,10,134,-4.93,232,-4.01,8-2,0-4,0-1,0-0,8-4
2026-02-03,Houston Christian,Southland,286,286,254,203,4-14,4-9,0-5,2-10,215,27,292,-11.66,188,-3.1,2-8,0-1,0-1,0-2,4-10
2026-02-03,Denver,Summit League,287,288,136,170,6-13,3-6,3-7,1-10,154,292,258,-9.9,301,-5.89,4-6,0-1,0-3,0-1,6-8
2026-02-03,Alabama St.,SWAC,288,287,281,213,7-10,6-3,1-7,4-7,64,3,142,-5.18,135,-2.23,6-4,0-5,0-1,0-0,7-4
2026-02-03,Dartmouth,Ivy League,289,289,260,206,7-10,1-6,6-4,4-6,234,346,217,-7.98,210,-3.49,2-8,0-1,0-1,0-3,7-5
2026-02-03,Yale,Ivy League,290,290,199,191,5-15,1-6,4-9,4-8,231,331,306,-12.57,346,-8.01,2-8,0-0,0-3,0-4,5-8
2026-02-03,Lafayette,Patriot,291,291,353,255,8-13,4-6,4-7,5-8,346,324,294,-11.79,304,-6.03,4-6,0-1,0-0,0-0,8-12
2026-02-03,North Florida,ASUN,292,292,202,192,6-13,3-7,3-6,4-9,158,73,263,-9.97,209,-3.47,3-7,0-2,0-2,0-1,6-8
2026-02-03,Coppin St.,MEAC,293,293,133,169,4-18,3-4,1-14,1-11,75,26,299,-12.15,348,-8.25,3-7,0-5,0-1,0-1,4-11
2026-02-03,Hampton,CAA,294,295,317,227,6-12,3-6,3-6,3-5,355,343,281,-11.22,282,-5.51,3-7,0-0,0-0,0-2,6-10
2026-02-03,New Mexico St.,CUSA,295,294,177,184,4-14,3-6,1-8,2-8,269,194,298,-12.13,314,-6.47,3-7,0-1,0-0,0-2,4-11
2026-02-03,Manhattan,MAAC,296,296,202,192,5-16,5-7,0-9,3-8,167,139,310,-12.76,331,-7.09,5-5,0-1,0-3,0-3,5-9
2026-02-03,Sacred Heart,MAAC,297,297,343,243,10-11,9-4,1-7,4-7,276,180,240,-8.89,286,-5.58,7-3,0-1,0-2,0-2,10-6
2026-02-03,Southern Ill.,MVC,298,298,209,193,4-13,3-7,1-6,0-7,293,296,287,-11.45,271,-5.24,3-7,0-0,0-1,0-4,4-8
2026-02-03,Akron,MAC,299,299,123,167,2-17,1-8,1-9,0-10,155,136,324,-13.9,326,-6.85,2-8,0-2,0-0,0-3,2-12
2026-02-03,Indiana St.,MVC,300,300,303,221,7-13,4-7,3-6,3-8,300,245,282,-11.22,251,-4.72,4-6,0-1,0-0,0-0,7-12
2026-02-03,Milwaukee,Horizon,301,301,270,210,6-16,4-9,2-7,3-8,339,312,333,-14.54,306,-6.14,4-6,0-0,0-1,0-3,6-12
2026-02-03,CSUN,Big West,302,302,189,187,4-14,2-9,2-5,2-8,308,283,303,-12.45,236,-4.18,1-9,0-0,0-1,0-4,4-9
2026-02-03,Western Ky.,CUSA,303,303,229,197,4-15,1-8,3-7,2-9,183,126,300,-12.2,254,-4.81,1-9,0-2,0-1,0-1,4-11
2026-02-03,Northeastern,CAA,304,304,335,233,6-13,2-7,4-6,4-6,357,357,302,-12.23,288,-5.63,3-7,0-0,0-0,0-1,6-12
2026-02-03,Winthrop,Big South,305,306,319,228,8-12,4-5,4-7,3-9,137,67,235,-8.51,223,-3.81,4-6,0-3,0-1,0-1,8-7
2026-02-03,Cornell,Ivy League,306,305,243,201,7-12,3-4,4-8,6-6,199,309,248,-9.31,325,-6.83,3-7,0-2,1-0,1-2,5-8
2026-02-03,Bucknell,Patriot,307,307,284,214,6-14,3-7,3-7,2-9,298,237,301,-12.21,285,-5.55,3-7,0-1,0-0,0-3,6-10
2026-02-03,American,Patriot,308,308,300,220,6-15,4-6,2-9,2-9,338,307,320,-13.55,345,-7.91,4-6,0-1,0-0,0-0,6-14
2026-02-03,Detroit Mercy,Horizon,309,309,223,196,4-17,2-11,2-6,0-9,245,163,334,-14.58,245,-4.47,0-10,0-1,0-1,0-3,4-12
2026-02-03,Jackson St.,SWAC,310,310,243,201,5-15,4-5,1-10,2-9,125,39,279,-11.15,308,-6.23,4-6,0-3,0-2,0-3,5-7
2026-02-03,Eastern Ill.,OVC,311,311,163,180,3-20,2-10,1-10,1-12,144,58,355,-16.11,322,-6.72,2-8,0-2,0-2,0-2,3-14
2026-02-03,Buffalo,MAC,312,312,171,182,2-19,0-10,2-9,0-10,204,196,356,-16.12,334,-7.17,0-10,0-1,0-2,0-3,2-13
2026-02-03,Samford,SoCon,313,313,209,193,5-16,1-6,4-10,3-12,103,53,289,-11.55,291,-5.71,2-8,0-4,0-1,0-0,5-11
2026-02-03,Portland St.,Big Sky,314,316,195,190,4-17,1-9,3-8,1-11,285,311,343,-15,327,-6.95,1-9,0-1,0-1,0-1,4-14
2026-02-03,Wagner,NEC,315,314,349,248,8-11,5-4,3-7,3-8,261,173,241,-8.98,266,-5.15,6-4,0-1,0-2,0-0,8-8
2026-02-03,Colgate,Patriot,316,315,267,209,5-15,2-8,3-7,2-9,284,201,315,-13.1,276,-5.36,2-8,0-1,0-1,0-1,5-12
2026-02-03,Texas Southern,SWAC,317,317,255,204,5-12,5-4,0-8,3-8,100,14,231,-8.3,240,-4.39,5-5,0-3,0-1,0-2,5-6
2026-02-03,N.C. Central,MEAC,318,322,216,194,3-14,1-4,2-10,1-8,110,68,272,-10.5,317,-6.58,2-8,0-3,0-0,0-2,3-9
2026-02-03,Wright St.,Horizon,319,318,275,211,4-17,2-10,2-7,1-11,280,269,341,-14.96,295,-5.85,1-9,0-1,0-0,0-3,4-13
2026-02-03,NIU,MAC,320,319,209,193,4-17,2-8,2-9,2-11,259,285,338,-14.75,341,-7.72,2-8,0-1,0-0,0-4,4-12
2026-02-03,Hofstra,CAA,321,320,179,185,2-17,1-8,1-9,2-8,141,69,323,-13.74,307,-6.16,1-9,0-2,0-1,0-2,2-12
2026-02-03,Charleston So.,Big South,322,321,255,204,6-15,5-4,1-11,4-8,159,88,291,-11.65,344,-7.83,5-5,0-2,0-1,0-4,6-8
2026-02-03,San Jose St.,Mountain West,323,323,101,158,2-19,1-10,1-9,0-13,139,115,349,-15.37,319,-6.66,1-9,0-1,0-3,0-4,2-11
2026-02-03,Queens (NC),ASUN,324,324,343,243,6-13,2-8,4-5,3-7,264,193,278,-11,208,-3.46,2-8,0-1,0-1,0-1,6-10
2026-02-03,Grambling,SWAC,325,326,281,213,3-15,3-5,0-10,1-10,253,158,312,-12.98,347,-8.03,3-7,0-1,0-0,0-3,3-11
2026-02-03,UNCW,CAA,326,325,328,230,4-16,1-9,3-7,1-10,321,277,332,-14.43,293,-5.78,1-9,0-1,0-0,0-1,4-14
2026-02-03,North Dakota,Summit League,327,327,168,181,3-17,2-7,1-10,0-8,188,155,326,-14.07,343,-7.82,2-8,0-1,0-2,0-3,3-11
2026-02-03,Gardner-Webb,Big South,328,329,352,254,7-16,4-5,3-11,3-10,344,329,337,-14.62,359,-9.89,4-6,0-1,0-0,0-3,7-12
2026-02-03,Rider,MAAC,329,330,343,243,4-17,2-10,2-7,2-10,342,330,352,-15.74,310,-6.31,2-8,0-0,0-1,0-2,4-14
2026-02-03,A&M-Corpus Christi,Southland,330,331,270,210,3-16,3-10,0-6,0-10,272,104,325,-14.07,246,-4.53,3-7,0-1,0-0,0-3,3-12
2026-02-03,Tennessee St.,OVC,331,328,209,193,3-18,2-10,1-8,0-11,205,111,345,-15.12,299,-5.88,1-9,0-2,0-0,0-2,3-14
2026-02-03,Ark.-Pine Bluff,SWAC,332,332,304,222,6-12,4-5,2-7,4-9,252,132,264,-9.98,263,-5.06,4-6,0-1,0-0,0-3,6-8
2026-02-03,Stonehill,NEC,333,333,356,257,7-13,4-6,3-7,1-9,302,202,283,-11.24,277,-5.36,4-6,0-1,0-1,0-0,7-11
2026-02-03,Louisiana,Sun Belt,334,334,118,163,1-19,1-11,0-8,0-9,180,209,354,-16.03,320,-6.72,1-9,0-1,0-1,0-3,1-14
2026-02-03,UNC Asheville,Big South,335,335,359,270,5-14,3-6,2-8,3-6,362,361,319,-13.48,342,-7.73,3-7,0-0,0-0,0-2,5-12
2026-02-03,Long Beach St.,Big West,336,336,142,172,2-18,2-9,0-9,0-10,220,142,350,-15.44,332,-7.12,2-8,0-1,0-0,0-4,2-13
2026-02-03,Seattle U,WCC,337,337,156,176,3-17,1-10,2-7,0-11,190,262,327,-14.11,294,-5.79,1-9,0-1,0-1,0-6,3-9
2026-02-03,Chicago St.,NEC,338,338,336,234,6-17,5-5,1-12,3-12,267,178,336,-14.61,357,-9.69,5-5,0-1,0-1,0-2,6-13
2026-02-03,Florida A&M,SWAC,339,339,319,228,4-15,4-5,0-10,1-11,313,225,318,-13.41,351,-8.49,4-6,0-0,0-2,0-2,4-11
2026-02-03,Cal Poly,Big West,340,340,149,175,1-18,1-10,0-8,0-11,117,16,330,-14.2,253,-4.72,1-9,0-3,0-1,0-0,1-14
2026-02-03,Canisius,MAAC,341,341,330,231,3-18,1-11,2-7,1-10,212,131,347,-15.25,262,-5.05,1-9,0-2,0-1,0-2,3-13
2026-02-03,Saint Peter's,MAAC,342,342,310,224,5-15,5-7,0-8,4-7,335,299,321,-13.57,333,-7.15,3-7,0-0,0-1,0-2,5-12
2026-02-03,Mercyhurst,NEC,343,343,341,238,7-14,7-3,0-11,5-7,143,50,269,-10.42,338,-7.49,7-3,0-4,0-0,0-0,7-10
2026-02-03,Southeastern La.,Southland,344,344,168,181,1-18,1-12,0-6,0-11,115,5,329,-14.17,176,-2.86,0-10,0-3,0-0,0-3,1-12
2026-02-03,Delaware St.,MEAC,345,345,279,212,1-17,1-5,0-12,1-9,257,223,344,-15.05,362,-10.18,1-9,0-1,0-1,0-1,1-14
2026-02-03,New Orleans,Southland,346,346,219,195,1-19,1-12,0-7,1-10,168,29,353,-15.92,242,-4.4,1-9,0-2,0-0,0-3,1-14
